id,district,house_type,house_build_date,floor_number,entrances,heating,window_view,ceiling_high,apartment_renovation,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
256281524,НАО,Панельный,1994,22,4,Центральное,Во двор,3.0,Евроремонт,46.0,34.0,8.0,Коммунарка,on foot,8,10900000
249912767,ВАО,Панельный,1974,2,4,Центральное,На улицу,2.64,Косметический,58.2,35.5,6.0,Соколиная гора,on foot,9,11250000
258178844,СВАО,Панельный,1975,1,6,Центральное,Во двор,3.0,Косметический,57.9,35.5,6.0,Медведково,transport,5,11300000
257651969,СВАО,Панельный,1966,9,6,Центральное,На улицу и двор,2.6,Косметический,59.0,43.1,6.0,Медведково,on foot,11,11400000
259441157,САО,Кирпичный,1961,5,4,Центральное,На улицу и двор,3.0,Без ремонта,54.0,43.0,6.0,Окружная,on foot,2,11599990
249632355,ВАО,Кирпичный,1960,2,4,Центральное,Во двор,3.0,Косметический,53.5,39.0,6.0,Преображенская площадь,on foot,12,11750000
258601935,ЮАО,Панельный,1972,3,4,Центральное,Во двор,2.64,Евроремонт,58.5,44.7,5.8,Красный Строитель,on foot,10,11800000
259283719,ВАО,Панельный,1971,6,12,Центральное,Во двор,3.0,Косметический,59.5,38.2,7.9,Выхино,on foot,10,11850000
254583721,ЮВАО,Кирпичный,1961,3,3,Центральное,На улицу и двор,3.0,Евроремонт,58.0,40.9,6.0,Текстильщики,on foot,10,11900000
260335180,СВАО,Блочный,1964,9,1,Центральное,На улицу,2.5,Косметический,45.0,27.4,6.8,Бабушкинская,on foot,14,12200000
259967334,ВАО,Блочный,1960,3,3,Центральное,На улицу и двор,2.64,Косметический,56.5,34.5,6.0,Щелковская,on foot,15,12300000
252022079,ЮВАО,Панельный,1980,11,2,Центральное,На улицу и двор,3.0,Косметический,60.2,40.0,9.0,Перерва,on foot,5,12850000
260403155,ЮВАО,Кирпичный,1957,2,4,Центральное,На улицу и двор,3.0,Косметический,65.0,39.6,9.9,Волжская,on foot,11,12300000
255122086,НАО,Панельный,1994,10,4,Центральное,На улицу и двор,2.75,Косметический,72.6,42.8,11.0,Ольховая,transport,15,12500000
257849736,ЮВАО,Монолитный,2010,8,6,Центральное,На улицу и двор,2.65,Косметический,80.3,46.0,9.0,Некрасовка,on foot,3,12550000
255706131,ВАО,Кирпичный,1960,1,3,Центральное,На улицу и двор,3.0,Дизайнерский,53.1,34.3,5.8,Измайловская,on foot,15,12500000
258834583,ВАО,Панельный,1965,4,4,Центральное,На улицу и двор,2.64,Косметический,58.0,43.0,6.0,Перово,on foot,7,12500000
252167542,САО,Кирпичный,1970,9,5,Центральное,На улицу и двор,3.0,Без ремонта,55.7,41.5,6.0,Селигерская,on foot,0,12700000
259689559,СВАО,Панельный,1978,2,8,Центральное,Во двор,3.0,Евроремонт,63.5,38.6,7.0,Бибирево,on foot,7,12650000
