id,district,housing_type,house_type,house_build_date,floor_number,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
251412030,ЮАО,Вторичка,Монолитный,2017,3,77.0,66.0,8.0,Автозаводская,on foot,14,9750000
259352029,СВАО,Вторичка,Панельный,1975,8,50.9,33.8,6.2,Отрадное,on foot,15,10200000
253019608,СЗАО,Вторичка,Кирпичный,1961,1,53.7,40.0,6.0,Тушинская,on foot,12,10400000
257396842,САО,Вторичка,Кирпичный,1994,1,101.5,71.5,24.0,Планерная,transport,30,10600000
258836599,ЗАО,Вторичка,Панельный,1969,2,60.0,43.0,6.0,Говорово,on foot,11,10800000
257714665,ЮАО,Вторичка,Панельный,1994,1,59.7,43.1,6.0,Зябликово,on foot,8,10990000
256281524,НАО,Вторичка,Панельный,1994,22,46.0,34.0,8.0,Коммунарка,on foot,8,10900000
249912767,ВАО,Вторичка,Панельный,1974,2,58.2,35.5,6.0,Соколиная гора,on foot,9,11250000
258178844,СВАО,Вторичка,Панельный,1975,1,57.9,35.5,6.0,Медведково,transport,5,11300000
257651969,СВАО,Вторичка,Панельный,1966,9,59.0,43.1,6.0,Медведково,on foot,11,11400000
259441157,САО,Вторичка,Кирпичный,1961,5,54.0,43.0,6.0,Окружная,on foot,2,11599990
249632355,ВАО,Вторичка,Кирпичный,1960,2,53.5,39.0,6.0,Преображенская площадь,on foot,12,11750000
258601935,ЮАО,Вторичка,Панельный,1972,3,58.5,44.7,5.8,Красный Строитель,on foot,10,11800000
259283719,ВАО,Вторичка,Панельный,1971,6,59.5,38.2,7.9,Выхино,on foot,10,11850000
254583721,ЮВАО,Вторичка,Кирпичный,1961,3,58.0,40.9,6.0,Текстильщики,on foot,10,11900000
260335180,СВАО,Вторичка,Блочный,1964,9,45.0,27.4,6.8,Бабушкинская,on foot,14,12200000
259967334,ВАО,Вторичка,Блочный,1960,3,56.5,34.5,6.0,Щелковская,on foot,15,12300000
252022079,ЮВАО,Вторичка,Панельный,1980,11,60.2,40.0,9.0,Перерва,on foot,5,12850000
260403155,ЮВАО,Вторичка,Кирпичный,1957,2,65.0,39.6,9.9,Волжская,on foot,11,12300000
255122086,НАО,Вторичка,Панельный,1994,10,72.6,42.8,11.0,Ольховая,transport,15,12500000
257849736,ЮВАО,Вторичка,Монолитный,2010,8,80.3,46.0,9.0,Некрасовка,on foot,3,12550000
255706131,ВАО,Вторичка,Кирпичный,1960,1,53.1,34.3,5.8,Измайловская,on foot,15,12500000
258834583,ВАО,Вторичка,Панельный,1965,4,58.0,43.0,6.0,Перово,on foot,7,12500000
