id,Город,Округ,Район,Улица,Дом,Общая,Жилая,Кухня,Этаж,Построен,Срок сдачи,Тип жилья,Высота потолков,Санузел,Ванная комната,Балкон/лоджия,Ремонт,Вид из окон,Площадь комнат,Отделка,Год постройки,Тип дома,Тип перекрытий,Подъезды,Лифты,Отопление,Аварийность,Парковка,Мусоропровод,Газоснабжение,Сдача комплекса,Застройщик,Класс,Кол-во корпусов,Ближайшее метро,Время до ближайшего метро,Цена
260557581,Москва,НАО (Новомосковский),Сосенское поселение,№ 173 квартал,,"75,4 м²","48,2 м²","11,5 м²",2 из 16,,3 кв. 2023,Новостройка,"2,89 м",,,,,На улицу,,"Предчистовая, чистовая",,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",А101,Комфорт,68 корпусов,Улица Горчакова, ⋅  7 мин. на транспорте,12 326 619 ₽
260556949,Москва,НАО (Новомосковский),Сосенское поселение,бул. Скандинавский,5к2,"64,4 м²","41,5 м²","10,1 м²",3 из 9,,4 кв. 2020,Новостройка,"2,89 м",,,,,На улицу и двор,,"Предчистовая, чистовая",,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",А101,Комфорт,68 корпусов,Коммунарка, ⋅  8 мин. на транспорте,12 345 873 ₽
260556940,Москва,НАО (Новомосковский),Сосенское поселение,бул. Скандинавский,5к2,"66,7 м²","44,7 м²","10,3 м²",2 из 9,,4 кв. 2020,Новостройка,"2,89 м",,,,,На улицу и двор,,"Предчистовая, чистовая",,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",А101,Комфорт,68 корпусов,Коммунарка, ⋅  8 мин. на транспорте,12 255 415 ₽
260557208,Москва,НАО (Новомосковский),Сосенское поселение,№ 173 квартал,,"75,7 м²","48,5 м²","11,5 м²",2 из 15,,3 кв. 2023,Новостройка,"2,89 м",,,,,Во двор,,,,,,,,,,,,,,,,,Улица Горчакова, ⋅  7 мин. на транспорте,12 455 496 ₽
260556964,Москва,НАО (Новомосковский),Сосенское поселение,бул. Скандинавский,5к2,"64,5 м²","41,5 м²","10,1 м²",5 из 9,,4 кв. 2020,Новостройка,"2,89 м",,,,,На улицу и двор,,"Предчистовая, чистовая",,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",А101,Комфорт,68 корпусов,Коммунарка, ⋅  8 мин. на транспорте,12 483 605 ₽
260557625,Москва,НАО (Новомосковский),Сосенское поселение,№ 173 квартал,,"72,4 м²","44,2 м²","11,2 м²",11 из 16,,3 кв. 2023,Новостройка,"2,89 м",,,,,На улицу,,"Предчистовая, чистовая",,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",А101,Комфорт,68 корпусов,Улица Горчакова, ⋅  7 мин. на транспорте,12 872 910 ₽
259876968,Москва,ЮВАО,р-н Нижегородский,Перовское 2 жилой комплекс,к1.1,"78,5 м²",48 м²,12 м²,19 из 33,,4 кв. 2022,Новостройка,,"1 совмещенный, 1 раздельный",,,,Во двор,,,,,,,,,,,,,,,,,Нижегородская, ⋅  7 мин. пешком,13 400 000 ₽
256654345,Москва,НАО (Новомосковский),Московский поселение,ул. Саларьевская,,"78,6 м²",,"22,5 м²",6 из 15,,3 кв. 2021,Новостройка,,"1 совмещенный, 1 раздельный",,,,На улицу и двор,,,,,,,,,,,,,,,,,Филатов Луг, ⋅  5 мин. пешком,14 190 000 ₽
255407375,Москва,НАО (Новомосковский),Коммунарка поселок,Аквилон Парк жилой комплекс,,"78,1 м²","43,8 м²","18,3 м²",1 из 14,,2 кв. 2022,Новостройка,,2 раздельных,,1 лоджия,,На улицу и двор,,Чистовая,,Монолитный,,,,,,"Подземная, гостевая",,,Сдача в 2 кв. 2022,Группа Аквилон,Комфорт,1 корпус,,,14 423 018 ₽
260557487,Москва,НАО (Новомосковский),Сосенское поселение,№ 173 квартал,,90 м²,59 м²,"9,1 м²",2 из 15,,3 кв. 2023,Новостройка,"2,89 м",,,,,На улицу и двор,,"Предчистовая, чистовая",,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",А101,Комфорт,68 корпусов,Улица Горчакова, ⋅  7 мин. на транспорте,16 061 614 ₽
